service,organization_id,category,grade,mcp,auth,in_qa10,claim_domain,confidence,auto_verification
AgileWorks,org-agileworks,経費・ワークフロー,AAA,公式MCP,OAuth 2.0,yes,atled.jp,high,yes
DocuSign,org-docusign,法務・契約,AAA,公式MCP,OAuth 2.0,yes,docusign.com,high,yes
freee会計,org-freee,会計・経理,AAA,公式MCP,OAuth 2.0,yes,freee.co.jp,high,yes
freee人事労務,org-freee,人事・労務,AAA,公式MCP,OAuth 2.0,yes,freee.co.jp,high,yes
freeeサイン,org-freee,法務・契約,AAA,公式MCP,OAuth 2.0,yes,freee.co.jp,high,yes
freee給与計算,org-freee,人事・労務,AAA,公式MCP,OAuth 2.0,yes,freee.co.jp,high,yes
Notion,org-notion,プロジェクト管理,AAA,公式MCP,OAuth 2.0,yes,notion.com,high,yes
Square,org-square,決済,AAA,公式MCP,OAuth 2.0,yes,squareup.com,high,yes
Wrike,org-wrike,プロジェクト管理,AAA,公式MCP,OAuth 2.0,yes,wrike.com,high,yes
Zoho CRM,org-zoho-crm,CRM・営業,AAA,公式MCP,OAuth 2.0,yes,zoho.com,high,yes
カラーミーショップ,org-カラーミーショップ,EC,AAA,公式MCP,OAuth 2.0,no,shop-pro.jp,high,yes
OneLogin,org-onelogin,セキュリティ,AA,公式MCP,OAuth 2.0 (Client Credentials),no,onelogin.com,medium,manual_review
Chatwork,org-chatwork,コミュニケーション,AA,公式MCP,API Key,no,chatwork.com,high,yes
Concur Expense,org-concur-expense,経費・ワークフロー,AA,サードパーティMCP,OAuth 2.0,no,concur.com,medium,manual_review
Domo,org-domo,BI・分析,AA,公式MCP,OAuth 2.0,no,domo.com,medium,manual_review
fincode byGMO,org-gmo-epsilon,決済,AA,公式MCP,Bearer Token,no,fincode.jp,high,yes
Freshdesk,org-freshdesk,カスタマーサポート,AA,公式MCP,API Key,no,freshworks.com,high,yes
GMOイプシロン,org-gmo-epsilon,決済,AA,公式MCP,API Key,no,epsilon.jp,high,yes
GMOペイメントゲートウェイ,org-gmoペイメントゲートウェイ,決済,AA,公式MCP,API Key,no,gmo-pg.com,high,yes
Keeper,org-keeper,セキュリティ,AA,公式MCP,API Key,no,keepersecurity.com,high,yes
